ALT TEMP PRESS  [H]  [H2]  [He]  [CH4]  [C2H2]  [C2H4]  [C2H6]  [CH3C2H] [C3H8]  [C4H2]  [C4H10]
-176.1 855.1 1.582e+07 1.018e+05 1.190e+20 1.470e+19 2.941e+17 -1.996e+08 -3.465e+07 9.392e+12 -8.890e+04 1.362e+12 -1.667e+07 7.279e+10
-130.9 604.5 1.344e+07 1.232e+05 1.430e+20 1.767e+19 3.535e+17 -2.065e+08 -3.469e+07 1.208e+13 2.881e+05 1.751e+12 -1.699e+07 9.373e+10
-98.2 446.4 1.106e+07 1.387e+05 1.594e+20 1.969e+19 3.939e+17 -1.770e+08 -2.759e+07 1.471e+13 9.506e+05 2.135e+12 -1.410e+07 1.144e+11
-73.5 346.6 8.680e+06 1.423e+05 1.611e+20 1.991e+19 3.982e+17 -9.568e+07 -1.054e+07 1.684e+13 1.946e+06 2.446e+12 -6.684e+06 1.312e+11
-53.9 283.6 6.300e+06 1.296e+05 1.429e+20 1.766e+19 3.531e+17 4.469e+07 1.765e+07 1.800e+13 3.260e+06 2.616e+12 5.859e+06 1.406e+11
-37.4 242.6 4.039e+06 1.094e+05 1.071e+20 1.324e+19 2.646e+17 2.568e+08 5.588e+07 1.799e+13 4.838e+06 2.620e+12 2.322e+07 1.412e+11
-23.3 209.3 2.557e+06 2.032e+05 7.859e+19 9.713e+18 1.941e+17 4.951e+08 8.854e+07 1.721e+13 6.747e+06 2.517e+12 3.626e+07 1.363e+11
-11.1 182.4 1.596e+06 4.103e+05 5.629e+19 6.955e+18 1.389e+17 9.788e+08 1.302e+08 1.590e+13 7.987e+06 2.342e+12 4.454e+07 1.273e+11
-0.4 160.3 1.018e+06 8.203e+05 4.083e+19 5.045e+18 1.008e+17 3.897e+09 3.365e+08 1.445e+13 8.728e+06 2.144e+12 5.513e+07 1.169e+11
9.1 143.5 6.362e+05 1.461e+06 2.852e+19 3.522e+18 7.030e+16 1.383e+10 8.438e+08 1.278e+13 1.126e+07 1.912e+12 8.052e+07 1.047e+11
17.7 130.5 4.043e+05 2.189e+06 1.993e+19 2.460e+18 4.906e+16 3.701e+10 1.416e+09 1.122e+13 1.845e+07 1.689e+12 1.636e+08 9.298e+10
25.6 120.9 2.537e+05 2.594e+06 1.350e+19 1.665e+18 3.317e+16 6.664e+10 1.396e+09 9.715e+12 3.706e+07 1.473e+12 4.268e+08 8.178e+10
32.9 113.3 1.608e+05 2.667e+06 9.131e+18 1.126e+18 2.240e+16 8.727e+10 7.227e+08 8.460e+12 7.855e+07 1.295e+12 1.040e+09 7.305e+10
39.9 108.4 1.007e+05 2.595e+06 5.979e+18 7.372e+17 1.464e+16 7.935e+10 3.099e+08 6.632e+12 9.899e+07 1.025e+12 1.250e+09 5.887e+10
46.8 115.1 6.405e+04 2.640e+06 3.579e+18 4.411e+17 8.749e+15 5.223e+10 4.381e+08 4.330e+12 8.020e+07 6.758e+11 8.395e+08 3.939e+10
54.5 128.7 4.013e+04 2.924e+06 2.007e+18 2.474e+17 4.898e+15 3.151e+10 8.391e+08 2.728e+12 5.352e+07 4.331e+11 4.022e+08 2.591e+10
62.9 140.3 2.557e+04 2.621e+06 1.173e+18 1.445e+17 2.857e+15 2.045e+10 9.448e+08 1.845e+12 3.970e+07 2.996e+11 2.137e+08 1.863e+10
71.9 146.8 1.598e+04 2.395e+06 7.007e+17 8.622e+16 1.700e+15 1.584e+10 9.079e+08 1.323e+12 3.638e+07 2.205e+11 1.582e+08 1.432e+10
81.2 150.8 1.016e+04 2.389e+06 4.338e+17 5.332e+16 1.047e+15 1.514e+10 9.327e+08 9.940e+11 3.790e+07 1.697e+11 1.428e+08 1.145e+10
90.7 153.6 6.379e+03 2.529e+06 2.673e+17 3.280e+16 6.413e+14 1.635e+10 1.017e+09 7.596e+11 4.189e+07 1.325e+11 1.364e+08 9.222e+09
100.4 156.6 4.051e+03 2.771e+06 1.665e+17 2.040e+16 3.963e+14 1.891e+10 1.120e+09 5.869e+11 4.737e+07 1.040e+11 1.303e+08 7.360e+09
110.4 160.9 2.535e+03 3.094e+06 1.015e+17 1.240e+16 2.388e+14 2.243e+10 1.193e+09 4.510e+11 5.280e+07 8.056e+10 1.190e+08 5.700e+09
120.4 161.1 1.612e+03 3.732e+06 6.448e+16 7.853e+15 1.496e+14 2.787e+10 1.229e+09 3.581e+11 5.867e+07 6.356e+10 1.042e+08 4.378e+09
130.5 161.4 1.008e+03 4.772e+06 4.025e+16 4.880e+15 9.153e+13 3.422e+10 1.196e+09 2.825e+11 6.301e+07 4.895e+10 8.569e+07 3.175e+09
140.7 161.7 6.410e+02 6.610e+06 2.557e+16 3.082e+15 5.669e+13 4.085e+10 1.105e+09 2.219e+11 6.591e+07 3.668e+10 6.935e+07 2.159e+09
